Date,Name,Publisher,Counts
02/19/20,Wolverine,Marvel,"196,441"
01/22/20,Wonder Woman,DC,"168,632"
01/01/20,Thor,Marvel,"163,210"
03/18/20,Spider-Woman,Marvel,"142,089"
01/01/20,Star Wars,Marvel,"97,053"
01/01/20,X-Men,Marvel,"93,342"
02/12/20,X-Men,Marvel,"92,287"
03/18/20,Batman,DC,"88,735"
03/04/20,Batman,DC,"87,385"
03/04/20,Flash,DC,"82,432"
01/29/20,X-Men,Marvel,"82,364"
01/08/20,Batman,DC,"80,053"
02/26/20,X-Men,Marvel,"77,715"
03/11/20,Thor,Marvel,"75,988"
03/11/20,X-Men,Marvel,"75,080"
02/05/20,Batman,DC,"74,423"
03/25/20,Wolverine,Marvel,"74,228"
01/22/20,Batman,DC,"74,126"
02/19/20,DCeased Unkillables,DC,"73,698"
02/19/20,Batman,DC,"73,390"
03/04/20,Strange Academy,Marvel,"71,039"
03/25/20,X-Men,Marvel,"70,208"
02/12/20,Gwen Stacy,Marvel,"69,284"
01/22/20,Guardians of the Galaxy,Marvel,"69,104"
03/25/20,Immortal Hulk,Marvel,"68,765"
02/26/20,Giant Size X-Men Jean Grey & Emma Frost,Marvel,"64,700"
02/05/20,Star Wars Darth Vader,Marvel,"63,866"
03/11/20,Star Wars Bounty Hunters,Marvel,"61,941"
02/12/20,Amazing Spider-Man,Marvel,"60,302"
03/18/20,Robin 80th Anniversary 100 Page Super Spect,DC,"60,011"
02/05/20,X-Men Fantastic Four,Marvel,"59,367"
03/04/20,Strange Adventures,DC,"58,682"
01/08/20,Star,Marvel,"57,901"
01/22/20,Amazing Spider-Man,Marvel,"57,726"
01/08/20,Amazing Spider-Man,Marvel,"57,520"
03/18/20,DCeased Unkillables,DC,"56,650"
03/25/20,Hellions,Marvel,"55,772"
01/22/20,Batman: Curse of the White Knight,DC,"55,270"
01/29/20,Thor,Marvel,"54,908"
02/26/20,Batman Curse of the White Knight,DC,"54,774"
01/15/20,Iron Man 2020,Marvel,"54,624"
02/26/20,Amazing Spider-Man,Marvel,"54,210"
03/11/20,Amazing Spider-Man,Marvel,"53,428"
01/08/20,X-Force,Marvel,"53,157"
03/25/20,Batman Curse of the White Knight,DC,"52,985"
03/11/20,Cable,Marvel,"52,143"
03/25/20,Amazing Spider-Man,Marvel,"52,142"
02/12/20,Thor,Marvel,"51,836"
02/26/20,X-Men Fantastic Four,Marvel,"51,753"
02/19/20,Guardians of the Galaxy,Marvel,"50,934"