Year,SEX,Count
1939.0,Female Characters,10
1939.0,Male Characters,56
1940.0,Female Characters,33
1940.0,Male Characters,180
1941.0,Female Characters,14
1941.0,Male Characters,173
1942.0,Female Characters,14
1942.0,Male Characters,216
1943.0,Female Characters,13
1943.0,Male Characters,177
1944.0,Female Characters,11
1944.0,Male Characters,120
1945.0,Female Characters,11
1945.0,Male Characters,85
1946.0,Female Characters,11
1946.0,Male Characters,78
1947.0,Female Characters,13
1947.0,Male Characters,58
1948.0,Female Characters,12
1948.0,Male Characters,98
1949.0,Female Characters,6
1949.0,Genderfluid Characters,1
1949.0,Male Characters,51
1950.0,Female Characters,3
1950.0,Male Characters,26
1951.0,Female Characters,9
1951.0,Male Characters,41
1952.0,Female Characters,5
1952.0,Male Characters,20
1953.0,Female Characters,9
1953.0,Male Characters,25
1954.0,Female Characters,19
1954.0,Male Characters,55
1955.0,Female Characters,4
1955.0,Male Characters,38
1956.0,Female Characters,1
1956.0,Male Characters,13
1957.0,Male Characters,7
1958.0,Female Characters,1
1958.0,Male Characters,1
1959.0,Male Characters,3
1960.0,Female Characters,2
1960.0,Male Characters,34
1961.0,Female Characters,5
1961.0,Male Characters,64
1962.0,Female Characters,10
1962.0,Male Characters,74
1963.0,Female Characters,20
1963.0,Male Characters,125
1964.0,Agender Characters,1
1964.0,Female Characters,19
1964.0,Male Characters,116
1965.0,Female Characters,18
1965.0,Male Characters,109
1966.0,Agender Characters,1
1966.0,Female Characters,18
1966.0,Male Characters,76
1967.0,Agender Characters,1
1967.0,Female Characters,7
1967.0,Male Characters,84
1968.0,Female Characters,13
1968.0,Male Characters,92
1969.0,Agender Characters,2
1969.0,Female Characters,15
1969.0,Male Characters,82
1970.0,Female Characters,14
1970.0,Male Characters,94
1971.0,Agender Characters,1
1971.0,Female Characters,12
1971.0,Male Characters,78
1972.0,Female Characters,25
1972.0,Male Characters,112
1973.0,Female Characters,39
1973.0,Male Characters,147
1974.0,Female Characters,38
1974.0,Male Characters,148
1975.0,Female Characters,54
1975.0,Male Characters,172
1976.0,Female Characters,44
1976.0,Male Characters,195
1977.0,Female Characters,42
1977.0,Male Characters,169
1978.0,Agender Characters,1
1978.0,Female Characters,25
1978.0,Male Characters,111
1979.0,Agender Characters,1
1979.0,Female Characters,48
1979.0,Male Characters,108
1980.0,Female Characters,46
1980.0,Male Characters,137
1981.0,Female Characters,44
1981.0,Male Characters,129
1982.0,Female Characters,42
1982.0,Male Characters,121
1983.0,Female Characters,52
1983.0,Male Characters,104
1984.0,Agender Characters,1
1984.0,Female Characters,46
1984.0,Male Characters,118
1985.0,Female Characters,52
1985.0,Male Characters,130
1986.0,Female Characters,52
1986.0,Male Characters,142
1987.0,Female Characters,32
1987.0,Male Characters,99
1988.0,Female Characters,67
1988.0,Male Characters,161
1989.0,Female Characters,48
1989.0,Male Characters,182
1990.0,Female Characters,77
1990.0,Male Characters,201
1991.0,Female Characters,75
1991.0,Male Characters,192
1992.0,Agender Characters,1
1992.0,Female Characters,101
1992.0,Male Characters,273
1993.0,Agender Characters,4
1993.0,Female Characters,107
1993.0,Male Characters,326
1994.0,Agender Characters,2
1994.0,Female Characters,86
1994.0,Male Characters,269
1995.0,Agender Characters,1
1995.0,Female Characters,59
1995.0,Male Characters,153
1996.0,Agender Characters,1
1996.0,Female Characters,80
1996.0,Male Characters,157
1997.0,Female Characters,68
1997.0,Male Characters,153
1998.0,Agender Characters,2
1998.0,Female Characters,59
1998.0,Male Characters,145
1999.0,Female Characters,52
1999.0,Male Characters,98
2000.0,Agender Characters,1
2000.0,Female Characters,74
2000.0,Male Characters,178
2001.0,Agender Characters,1
2001.0,Female Characters,66
2001.0,Male Characters,121
2002.0,Female Characters,68
2002.0,Male Characters,167
2003.0,Agender Characters,1
2003.0,Female Characters,73
2003.0,Male Characters,145
2004.0,Agender Characters,1
2004.0,Female Characters,84
2004.0,Male Characters,139
2005.0,Female Characters,80
2005.0,Genderfluid Characters,1
2005.0,Male Characters,166
2006.0,Agender Characters,1
2006.0,Female Characters,87
2006.0,Male Characters,201
2007.0,Agender Characters,1
2007.0,Female Characters,63
2007.0,Male Characters,179
2008.0,Agender Characters,1
2008.0,Female Characters,85
2008.0,Male Characters,205
2009.0,Agender Characters,1
2009.0,Female Characters,79
2009.0,Male Characters,171
2010.0,Female Characters,108
2010.0,Male Characters,186
2011.0,Agender Characters,1
2011.0,Female Characters,86
2011.0,Male Characters,227
2012.0,Female Characters,51
2012.0,Male Characters,127
2013.0,Agender Characters,5
2013.0,Female Characters,50
2013.0,Male Characters,86